"mxt"	"03971"	"mixteca"	"Mixteco"	"[variant language]"	"Mixteco de San Cristobal Amoltepec"
"mxv"	"00000"	"mixteca"	"Mixteco"	"[variant language]"	"Mixteco de Metlatónoc"
"mxy"	"03401"	"mixteca"	"Mixteco"	"[variant language]"	"Mixteco de Nuxaa"
"mxy"	"19454"	"mixteca"	"Mixteco"	"[variant language]"	"Mixteco del sureste de Nochixtlán"
"mza"	"00000"	"mixteca"	"Mixteco"	"[variant language]"	"Mixteco de Santa María Zacatepec"
"vmc"	"04050"	"mixteca"	"Mixteco"	"[variant language]"	"Mixteco Central de Juxtlahuaca"
"vmj"	"00000"	"mixteca"	"Mixteco"	"[variant language]"	"Mixteco del Noreste de Jamiltepec"
"vmm"	"00000"	"mixteca"	"Mixteco"	"[variant language]"	"Mixteco de Mitlatongo"
"vmq"	"00000"	"mixteca"	"Mixteco"	"[variant language]"	"Mixteco de San Bartolo Soyaltepec"
"vmx"	"00000"	"mixteca"	"Mixteco"	"[variant language]"	"Mixteco de San Juan Tamazola"
"xta"	"00000"	"mixteca"	"Mixteco"	"[variant language]"	"Mixteco de Alcozauca (Xochapa)"
"xtb"	"00000"	"mixteca"	"Mixteco"	"[variant language]"	"Mixteco de Chazumba"
"xtd"	"00000"	"mixteca"	"Mixteco"	"[variant language]"	"Mixteco de Diuxi-Tilantongo"
"xti"	"00000"	"mixteca"	"Mixteco"	"[variant language]"	"Mixteco de Sinicahua"
"xtj"	"00000"	"mixteca"	"Mixteco"	"[variant language]"	"Mixteco de San Juan Teita"
"xtl"	"00000"	"mixteca"	"Mixteco"	"[variant language]"	"Mixteco de Tijaltepec"
"xtm"	"06042"	"mixteca"	"Mixteco"	"[variant language]"	"Mixteco de Magdalena Peñasco"
"xtm"	"06443"	"mixteca"	"Mixteco"	"[variant language]"	"Mixteco de San Mateo Peñasco"
"xtm"	"04068"	"mixteca"	"Mixteco"	"[variant language]"	"Mixteco de Tlacotepec"
